ダウンロードした時刻：2022/01/10 13:05:19

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2021/3/11,9.9,8,1,0,1,8,1,10.7,0,8,1,2.5,8,1,快晴,8,1
2021/3/12,12.7,8,1,0.0,0,8,1,2.8,0,8,1,10.0,8,1,曇,8,1
2021/3/13,11.1,8,1,65.0,0,8,1,0.0,0,8,1,9.5,8,1,大雨、雷を伴う,8,1
2021/3/14,12.5,8,1,0,1,8,1,10.8,0,8,1,0.8,8,1,快晴,8,1
2021/3/15,12.9,8,1,0,1,8,1,11.3,0,8,1,0.3,8,1,快晴,8,1
2021/3/16,14.5,8,1,0,1,8,1,7.7,0,8,1,8.5,8,1,薄曇時々晴,8,1
2021/3/17,13.7,8,1,0,1,8,1,9.6,0,8,1,2.5,8,1,晴後薄曇,8,1
2021/3/18,12.3,8,1,0,1,8,1,10.9,0,8,1,2.0,8,1,快晴,8,1
2021/3/19,12.9,8,1,0,1,8,1,7.6,0,8,1,8.0,8,1,晴時々薄曇,8,1
2021/3/20,14.1,8,1,0.0,0,8,1,1.0,0,8,1,10.0,8,1,曇,8,1
2021/3/21,16.7,8,1,46.5,0,8,1,0.0,0,8,1,10.0,8,1,大雨,8,1
2021/3/22,12.1,8,1,0.5,0,8,1,1.8,0,8,1,10.0,8,1,曇後一時雨,8,1
2021/3/23,10.8,8,1,0.0,0,8,1,11.6,0,8,1,0.5,8,1,快晴,8,1
2021/3/24,13.8,8,1,0,1,8,1,11.5,0,8,1,5.0,8,1,晴時々薄曇,8,1
2021/3/25,14.5,8,1,0.5,0,8,1,2.0,0,8,1,10.0,8,1,曇後一時雨,8,1
2021/3/26,14.5,8,1,0,1,8,1,10.8,0,8,1,2.5,8,1,晴,8,1
2021/3/27,13.7,8,1,0,1,8,1,10.2,0,8,1,7.3,8,1,晴後薄曇,8,1
